cfs_analysis_entity;cfs_delivering_entity;cfs_reporting_date;cfs_cms_contract_number;cfs_source_system;cfs_cashflow_type;cfs_payment_date;cfs_cashflow;cfs_drv_alm_flag;cfs_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;ae75cceffxy75cceffaez;SYS;Installment;2024-12-05;1715.47;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ae41f2a31xy41f2a3178z;SYS;Installment;2028-10-17;1819.85;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a1a316159xya316159f8z;SYS;Installment;2027-10-24;524.14;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-09-30;abd499d6fxyd499d6fd5z;SYS;Installment;2022-03-18;104838.0;N;N;2025-05-14 12:09:32.701067;2025-05-14 12:09:32.701067
XY;50;2024-10-31;a547c1359xy47c13592az;SYS;Installment;2027-07-06;664.84;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a1c7efc65xyc7efc65ccz;SYS;Installment;2023-02-23;538.4;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ad9fb7eb3xy9fb7eb335z;SYS;Installment;2024-04-28;2181.67;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a5a98252fxya98252fa8z;SYS;Installment;2023-10-26;285.18;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a1169e707xy169e7078az;SYS;Installment;2026-04-05;1493.25;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;a178abc68xy78abc6800z;SYS;Installment;2024-08-06;575.0;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a3e418233xye418233b5z;SYS;Interest;2022-12-01;77.01;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;a87718a58xy7718a5829z;SYS;Installment;2024-05-20;2630.13;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a0f2426b6xyf2426b682z;SYS;Installment;2025-06-10;759.22;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a5943f664xy943f66466z;SYS;Interest;2022-09-01;61.87;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;a61d03d56xy1d03d5681z;SYS;Interest;2024-12-01;116.73;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;a2a46ffaaxya46ffaa8cz;SYS;Installment;2025-03-25;473.92;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a998561f7xy98561f7f8z;SYS;Installment;2025-12-29;1008.1;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a7258c413xy258c413c3z;SYS;Installment;2022-06-20;306.6;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2025-04-30;a8bfe2eaaxybfe2eaaf9z;SYS;Installment;2025-06-26;2023.0;N;N;2025-05-15 08:36:29.553706;2025-05-15 08:36:29.553706
XY;50;2024-10-31;ace13a5aaxye13a5aa34z;SYS;Installment;2025-04-25;452.62;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aab8bcc71xyb8bcc7117z;SYS;Installment;2022-07-21;646.98;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a988091a5xy88091a5f7z;SYS;Interest;2025-06-01;85.87;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;a36d4ef0exy6d4ef0eaaz;SYS;Installment;2019-03-03;1095.38;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ac35fa5d3xy35fa5d351z;SYS;Installment;2022-02-12;743.27;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ac5334e55xy5334e555dz;SYS;Installment;2025-05-19;594.1;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aead7de94xyad7de94a1z;SYS;Installment;2021-12-25;1090.63;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;acfe31183xyfe3118321z;SYS;Installment;2026-09-09;600.0;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a3f0bc6c4xyf0bc6c445z;SYS;Installment;2019-10-16;795.53;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;ab40c485bxy40c485badz;SYS;Installment;2027-09-13;1105.64;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a297c5912xy97c5912fcz;SYS;Installment;2024-09-01;586.15;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a50e18fcbxy0e18fcb95z;SYS;Installment;2026-04-07;1157.38;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ae3f7e2d5xy3f7e2d530z;SYS;Installment;2026-02-24;1033.99;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;afade47d1xyade47d1b5z;SYS;Installment;2023-01-01;203.69;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;ae0052a9axy0052a9a66z;SYS;Installment;2022-12-28;561.55;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2025-04-30;ad3884b01xy3884b0161z;SYS;Installment;2021-02-06;952.39;N;N;2025-05-15 08:36:29.553706;2025-05-15 08:36:29.553706
XY;50;2024-10-31;a1765d0ffxy765d0ff10z;SYS;Installment;2026-02-14;2333.65;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2025-04-30;a9dda14edxydda14edb1z;SYS;Installment;2020-11-28;763.89;N;N;2025-05-15 08:36:29.553706;2025-05-15 08:36:29.553706
XY;50;2024-10-31;a593b6d55xy93b6d557ez;SYS;Installment;2026-06-07;3799.97;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;afb077524xyb07752415z;SYS;Installment;2024-04-27;431.93;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a72819c24xy2819c2422z;SYS;Installment;2028-01-28;742.65;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a7d395f88xyd395f884ez;SYS;Installment;2026-05-02;1112.55;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;a2c5d4c0cxyc5d4c0c50z;SYS;Installment;2024-06-02;1261.14;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;afc58e22dxyc58e22d0ez;SYS;Installment;2027-10-25;4033.2;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;afa03a05cxya03a05c83z;SYS;Installment;2021-08-26;595.93;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a45940720xy594072052z;SYS;Installment;2026-05-26;593.47;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a94793e52xy4793e52aaz;SYS;Installment;2025-10-17;1144.17;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ac03e29e5xy03e29e56fz;SYS;Installment;2028-01-06;1077.05;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a56c43863xy6c43863b5z;SYS;Installment;2025-09-15;512.94;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
