ctt_analysis_entity;ctt_delivering_entity;ctt_funding_entity;ctt_balance_sheet_entity;ctt_reporting_date;ctt_cms_contract_number;ctt_source_system;ctt_bevis_id;ctt_status;ctt_start_date;ctt_end_date;ctt_contract_currency;ctt_trade_date;ctt_acquisition_date;ctt_nbv_local_cms;ctt_restructuring_flag;ctt_sales_price;ctt_down_payment;ctt_balloon_rv;ctt_additional_financed_amount;ctt_commission;ctt_fee;ctt_idc;ctt_subsidy;ctt_subsidy_percent;ctt_security_deposit;ctt_deposit_rate;ctt_period_in_month;ctt_fix_variable;ctt_variable_type;ctt_payment_mode;ctt_cmsir;ctt_day_conv;ctt_fixing_period;ctt_last_fixing;ctt_next_fixing;ctt_installment;ctt_installment_count;ctt_delinquent_amount;ctt_delinquent_amount_ccy;ctt_delinquent_days_contract;ctt_position_id;ctt_pd;ctt_lgd;ctt_triggering_event_flag;ctt_continuation_deal;ctt_date_of_last_restructuring;ctt_number_restructurings;ctt_opex;ctt_nib_ratio;ctt_co_r_v_r;ctt_reserves_segment_contract;ctt_economic_capital_ratio;ctt_portfolio_cr;ctt_portfolio_pp;ctt_portfolio;ctt_written_off_flag;ctt_additional_collateral_type;ctt_additional_collateral_amount;ctt_insurance_ancillary;ctt_insurance_gap;ctt_insurance_motor;ctt_insurance_ppi;ctt_insurance_warranty;ctt_tax_rate;ctt_financial_product_group;ctt_rv_guarantee_flag;ctt_product_sap;ctt_abs_code;ctt_asset_type_segment;ctt_brand;ctt_new_used;ctt_units;ctt_model_sap;ctt_additional_asset_information;ctt_asset_model_date;ctt_list_price;ctt_vin;ctt_vin_type;ctt_borrower_type;ctt_borrower_sub_type;ctt_customer_number;ctt_customer_group_number;ctt_borrower_country;ctt_industry_segmentation;ctt_rating;ctt_rating_name;ctt_rating_version;ctt_scoring;ctt_r_model_score_card;ctt_r_model_score_card_version;ctt_dealer;ctt_branch;ctt_campaign;ctt_fda_1;ctt_fda_2;ctt_hostile_termination_flag;ctt_loan_commitment_flag;ctt_ifrs9_classification;ctt_credit_impaired;ctt_loan_limit;ctt_impaired_information;ctt_business_division;ctt_business_line;ctt_rating_scoring_flag;ctt_portfolio_tm1;ctt_icrsa_flag;ctt_delinquency_reason_code;ctt_ifrs9_country_region;pgr_id;ifc_id;ctt_cal_baumuster;ctt_cal_engine_style_text;ctt_cal_product_txt;ctt_cal_class_txt;ctt_cal_typclass_text;ctt_cal_product_comment;ctt_cal_product_bmst;ctt_cal_taxonomy_aligned;ctt_cal_acquisition_period;ctt_cal_financed_amount;ctt_cal_curr_rating_scoring_id;ctt_cal_curr_rating_scoring_value;ctt_cal_curr_rating_scoring_scaled;ctt_cal_curr_rating_scoring_class;ctt_cal_cms_gross_exposure;ctt_cal_contract_age;ctt_cal_vehicle_age;ctt_cal_nbv;ctt_cal_technical_amortization;ctt_cal_max_cashflow_date;ctt_cal_contract_term;ctt_cal_amg_maybach_classification;ctt_cal_contract_status_name;ctt_cal_luxury_segment;ctt_cal_ifrs9_relevant;ctt_cal_initial_rating_scoring_scaled;ctt_cal_residual_term_in_months;ctt_cal_net_pay_out_amount;ctt_cal_upfront_payments;ctt_cal_contract_term_bucket;ctt_cal_initial_rating_scoring_value;ctt_cal_initial_rating_scoring_id;ctt_cal_initial_rating_scoring_class;ctt_cal_delinquent_amount;ctt_cal_interest_type;ctt_cal_contract_last_fixing;ctt_cal_contract_next_fixing;ctt_cal_contract_trade_date;ctt_cal_product_group_alm;ctt_cal_downpayment_ratio;ctt_cal_gross_exposure;ctt_cal_delinquency_bucket_name;ctt_cal_nominal_deal_irr;ctt_cal_effective_deal_irr;ctt_cal_nominal_upfront_margin;ctt_cal_upfront_margin_sensitivity;ctt_cal_effective_payment_frequency;ctt_cal_default_indicator;ctt_cal_date_of_default;ctt_cal_time_since_default;ctt_cal_default_status;ctt_cal_impairment_indicator;ctt_cal_delinquent_days_contract;ctt_cal_delinquent_days;ctt_drv_alm_flag;ctt_drv_risk_flag;ctt_drv_portfolio_name_tm1;ctt_drv_portfolio_type_tm1;ctt_drv_portfolio_type_rdr;ctt_drv_portfolio_name_rdr;MGT_InsertTime;MGT_UpdateTime;ctt_cal_product_group_reporting
XY;50;XY1001;XY10;2024-10-31;a5eb0e5b6xyeb0e5b6f7z;SYS;708;0;2023-12-11;2029-12-25;EUR;;2024-01-05;67436.9;N;81783.29;10000.0;0.0;1695.0;2646.54;0.0;0.0;0.0;;0.0;;1.0;F;;R;8.94;Act/Act;;;;1326.9;72.0;1592.3;EUR;6.0;-114723503;0.00985;0.338;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;VA;MB;N;1.0;;;;79972.0;a6f94d534xyf94d53427z;VIN;RSB;NON;a3edef541xyedef541c0z;a34500668xy450066823z;XY;;;;;1.0;;;ae25100efxy25100ef80z;;;;;N;N;Loan retail;;;;Other;;;;;;;2511;28;a27679cxyec0z;Diesel;416 KA 4X2 4325;Sprinter/NCV3/VS30;VS30 VAN CHS MB;VS30 RWD - KaWa;907645;F;2024-01-31;73478.29;X;1.0;;;69029.2;11;11;67720.83592879059;72.46667;2029-12-25;72;Other;Active;Vans;Y;;62;76124.82999999999;-2646.54;61 - 72;1.0;X;;1592.3;F;;;2023-12-11;PF_F;0.12227;69313.13593;Current;0.0768173522063032;0.0795750477398039;-0.012582681789722;0.3555852117986008;11.957525519421624;N;;0;No-Default;N;0;0;N;N;XYORGF;TM1;RDR;XYORGF;2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;STFIN
XY;50;XY1001;XY10;2024-10-31;a3fea5986xyfea598610z;SYS;708;0;2022-10-28;2026-10-28;EUR;;2022-10-28;29635.74;N;37900.0;898.63;18628.05;2835.48;725.34;795.0;0.0;0.0;;0.0;;1.0;F;;R;10.67;30/360;;;;724.48;48.0;0.0;EUR;0.0;1868546398;0.07505;0.34893;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;;PC;MB;U;1.0;;;;;a6f5ea103xyf5ea10373z;VIN;RP;NON;abcfc6780xycfc678074z;abcfc6780xycfc678074z;XY;;;;;3.0;;;aae1634ddxye1634ddbez;;;;;N;N;Operating lease;;;;Other;;;;;;;2508;31;a9f356cxya66z;Benzin;A 220 4M Lim;A-Klasse;V177;A 220 4MATIC Limousine;177145;F;2022-10-31;39836.85;X;3.0;;;29635.74;24;54;29683.01536811963;94.36667;2026-10-28;48;Other;Active;Entry Luxury;Y;;24;39042.70999999999;69.65999999999997;37 - 48;3.0;X;;0.0;F;;;2022-10-28;PF_F;0.02371;29683.01537;Current;0.1155453376510434;0.1218647361444564;0.0007196071159931;0.4065078326701429;12.006696428571429;N;;0;No-Default;N;0;0;N;N;XYORGF;TM1;RDR;XYORGF;2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;OPLEA
XY;50;XY1001;XY10;2024-09-30;a9217c26axy217c26acbz;SYS;3250;0;2023-06-30;2028-07-04;EUR;;2023-06-30;7050987.66;N;7837463.0;0.0;3045000.0;0.0;0.0;12712.0;46494.24;206252.0;;128195.0;0.0;;F;;;0.0;30/360;;;;;;280095.63;EUR;58.0;-128827992;0.0;0.0;0;;;;;;;;;;;;;;;;;;;;;OPFIN;T;;;PC;MB;N;1.0;;;;7250000.0;a757957c2xy57957c2b6z;VIN;CF;NON;ac7732092xy77320922ez;ac7732092xy77320922ez;XY;NDA;2.66;Rating;;;;;a6657d572xy657d57286z;;14073 ROTF  Agility 20K  Apr'23 Campaign;;;N;N;Loan retail;N;;;Other;RE;;IND-FS;;BANK_ACCOUNT_REJECTION;;2054;28;afbcb6cxy5a5z;Benzin;E 260 L;E-Klasse;V213;E 260 lang;213180;F;2023-06-30;7837463.0;R;2.66;2.66;3.0;7331083.29;15;15;6776859.900708063;98.33333;2028-07-04;60;Other;Active;Core Luxury;Y;2.66;45;7664993.24;172469.76;49 - 60;2.66;R;3.0;280095.63;F;;;2023-06-30;PF_F;0.0;7056955.53071;31-60 dpd;0.1058848773722124;0.1111755150271229;0.0076187801715809;0.3461073483541368;11.976470588235294;N;;0;No-Default;N;58;58;N;N;XYORGF;TM1;RDR;XYORGF;2025-05-14 12:09:29.195521;2025-05-14 12:09:29.195521;OPFIN
XY;50;XY1001;XY10;2024-10-31;a15993022xy599302266z;SYS;708;0;2022-10-21;2028-11-15;EUR;;2022-10-31;55224.76;N;80350.73;8000.0;0.0;1500.0;3964.11;0.0;0.0;0.0;;0.0;;1.0;F;;R;8.99;Act/Act;;;;1335.74;73.0;173.58;EUR;30.0;-92337438;0.01074;0.345;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;VA;MB;N;1.0;;;;59821.0;a69af4bc2xy9af4bc2d4z;VIN;RSB;NON;ad46ee0a5xy46ee0a565z;ad46ee0a5xy46ee0a565z;XY;;;;;1.0;;;a1b3d7f23xyb3d7f239fz;;;;;N;N;Loan retail;;;;Other;;;;;;;2511;28;a35989bxy047z;Diesel;419 KA 4X2 4325;Sprinter/NCV3/VS30;VS30 VAN CHS MB;VS30 RWD - KaWa;907647;F;2022-10-31;73850.73;X;1.0;;;55398.34;24;24;56822.96002240406;72.8;2028-11-15;73;Other;Active;Vans;Y;;49;77814.84;-3964.11;73 - 84;1.0;X;;173.58;F;;;2022-10-21;PF_F;0.09956;56996.54002;Current;0.0715879592977426;0.0739765373031805;-0.0183121207931886;0.3490990099340216;11.911684530495537;N;;0;No-Default;N;0;0;N;N;XYORGF;TM1;RDR;XYORGF;2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;STFIN
XY;50;XY1001;XY10;2024-10-31;aa1921065xy1921065e9z;SYS;709;0;2021-01-14;2026-01-14;EUR;;2021-01-14;16384.56;N;72393.82;10000.0;0.0;0.0;0.0;0.0;0.0;1844.34;0.0;0.0;0.0;1.0;F;1.0;R;0.02;Act/Act;0.0;2021-01-14;2026-01-14;0.0;0.0;0.0;EUR;0.0;1423451252;0.0036;0.37;0;N;;0.0;;;;;;;;;;;;;;;;;;STFIN;N;3002.0;;VA;MB;N;1.0;;;;65331.0;a588737cbxy88737cb67z;VIN;RSB;NON;a9e069485xye0694857bz;a9e069485xye0694857bz;XY;;0.0;;;291.0;ACE;;ac364b951xy364b951e5z;910.0;887;;;N;N;Loan retail;N;0.0;;Other;;;;;;;2511;28;a6ea647xy936z;Diesel;419 KA 4X2 3665;Sprinter/NCV3/VS30;VS30 VAN DUS MB;VS30 RWD - KaWa;907643;F;2021-01-31;62393.82;X;291.0;;;16384.56;46;46;16346.196447154784;60.0;2026-01-14;60;Other;Active;Vans;Y;;14;60549.48;1844.34;49 - 60;291.0;X;;0.0;F;;;2021-01-14;PF_F;0.13813;16346.19645;Current;0.0421108396394514;0.0429331943949255;0.0122107066755207;0.4121067815404403;12.009212506574224;N;;0;No-Default;N;0;0;N;N;XYORGF;TM1;RDR;XYORGF;2025-04-23 13:46:56.996937;2025-04-23 13:46:56.996937;STFIN
XY;50;XY1001;XY10;2024-10-31;a6b2e4d45xyb2e4d4553z;SYS;8204;1;2020-10-06;2024-10-05;EUR;;2020-10-08;0.0;N;34150.0;10000.0;6830.0;0.0;0.0;0.0;150.0;0.0;;0.0;;1.0;F;;A;0.04;30/360;;;;;;-1065.85;EUR;20.0;-1346527141;0.0;;0;;;0.0;;;;;;Internal;;;;;;;;;;;;OLOPT;B;;;VA;MB;N;;;;2020-08-26;34150.0;ae0b5de47xy0b5de47e4z;VIN;RSB;NON;ade990e6cxye990e6ceez;ade990e6cxye990e6ceez;XY;;0.0;;;729.0;RSB;5.0;aab869f20xyb869f20a6z;;BMS 2020 Sprinter 0%;;;N;N;Operating lease;N;;;;;;;;;;2517;31;a9003ecxy237z;Diesel;316 FHS 4X2 4325;Sprinter/NCV3/VS30;VS30 Chassis LUF MB;VS30 RWD - Fahrerhaus;907135;F;2020-10-31;24150.0;S;729.0;600.0;5.0;-1065.85;49;49;;59.96666;2024-10-05;48;Other;Inactive;Vans;Y;600.0;0;;-150.0;37 - 48;729.0;S;5.0;-1065.85;F;;;2020-10-06;PF_F;0.29283;0.0;Current;;;;;;N;;0;No-Default;N;0;0;Y;Y;XYORGF;TM1;RDR;XYORGF;2025-04-30 08:18:19.573592;2025-04-30 08:18:19.573592;OLOPT
XY;50;XY1001;XY10;2024-10-31;ae70b4c5cxy70b4c5c09z;SYS;708;0;2024-03-30;2027-03-30;EUR;;2024-04-02;53779.52;N;57909.0;1103.76;36772.2;0.0;300.0;0.0;0.0;3757.86;;0.0;;1.0;F;;R;3.84;30/360;;;;706.19;36.0;0.0;EUR;0.0;881980899;0.01413;0.29561;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;L7F;PC;MB;N;1.0;;;;58050.0;a8307fa9bxy307fa9b25z;VIN;RP;NON;a2be8039fxybe8039f6fz;a2be8039fxybe8039f6fz;XY;;;;;1.0;;;a5bb12c2fxybb12c2f77z;;;;;N;N;Operating lease;;;;Other;;;;;;;2508;31;a77378axy89az;Benzin;C 300;C-Klasse;W206;C 300;206046;F;2024-04-30;56805.24;X;1.0;;;53779.52;7;7;50198.64242941965;98.53333;2027-03-30;36;Other;Active;Core Luxury;Y;;29;52641.19;3457.86;25 - 36;1.0;X;;0.0;F;;;2024-03-30;PF_F;0.01906;50198.64243;Current;0.0653878054882864;0.0673810223177579;0.0270014973434536;0.4295358227399182;12.103551561831408;N;;0;No-Default;N;0;0;N;N;XYORGF;TM1;RDR;XYORGF;2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;OPLEA
XY;50;XY1001;XY10;2025-04-30;a106ed8b3xy06ed8b3cbz;SYS;2287;0;2024-12-27;2029-12-27;EUR;;2024-12-28;98177.8;N;94013.1;0.0;45360.0;7666.85;150.0;590.0;0.0;0.0;;0.0;;;F;;;6.99;30/360;;;;;;0.0;EUR;0.0;-1032618038;;;0;;;0.0;;;;;;;;;;;;;;;;;;OPFIN;B;;;PC;MB;N;1.0;;;2024-09-25;94500.0;a52bcdbb2xy2bcdbb2f4z;VIN;RSB;NON;a4dce5cc6xydce5cc6f4z;a4dce5cc6xydce5cc6f4z;XY;;8.0;;;526.0;PI2013;;a8c715cedxyc715ceddbz;;004S0066S0122S0171V0001C0275;;;N;N;Loan retail;N;;;;;;;;;;3374;28;a4ecd12xyd64z;Benzin;GLC 300 4M;GLC;X254;GLC 300 4MATIC;254647;F;2024-12-31;101679.95;S;526.0;300.0;8.0;98177.8;4;4;98100.1747913333;115.93333;2029-12-27;60;Other;Active;Core Luxury;Y;300.0;56;101239.95;440.0;49 - 60;526.0;S;8.0;0.0;F;;;2024-12-27;PF_F;0.0;98100.17479;Current;0.0712572441482358;0.073631160907197;0.0013570596454326;0.3151925328604227;12.0;N;;0;No-Default;N;0;0;N;N;XYORGF;TM1;RDR;XYORGF;2025-05-15 08:36:22.269992;2025-05-15 08:36:22.269992;OPFIN
XY;50;XY1001;XY10;2024-10-31;a35da8a4dxy5da8a4db5z;SYS;708;0;2021-05-19;2025-05-19;EUR;;2021-05-20;27892.74;N;51528.0;22.43;24124.8;0.0;400.0;0.0;0.0;2728.49;;0.0;;1.0;F;;R;1.4;30/360;;;;614.3;48.0;0.0;EUR;0.0;458977654;0.01188;0.34692;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;L7F;PC;MB;N;1.0;;;;48500.0;a4d26ddd4xyd26ddd43az;VIN;RP;NON;ab9b2431bxy9b2431b1dz;ab9b2431bxy9b2431b1dz;XY;;;;;1.0;;;a1e408d80xye408d805dz;;;;;N;N;Operating lease;;;;Other;;;;;;;2508;31;a27b963xy706z;Benzin;GLC 300 4M;GLC;X253;GLC 300 4MATIC;253984;F;2021-05-31;51505.57;X;1.0;;;27892.74;41;41;27355.685170473556;90.2;2025-05-19;48;Other;Active;Core Luxury;Y;;7;48562.78;2328.49;37 - 48;1.0;X;;0.0;F;;;2021-05-19;PF_F;0.00044;27355.68517;Current;0.0303288238361195;0.0307539881062243;0.0163337225592466;0.3529119746175448;12.0;N;;0;No-Default;N;0;0;N;N;XYORGF;TM1;RDR;XYORGF;2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;OPLEA
XY;50;XY1001;XY10;2024-10-31;ab81ece5fxy81ece5f56z;SYS;8205;0;2021-01-08;2027-01-07;EUR;;2021-01-08;28204.03;N;85480.45;14835.45;7500.0;0.0;0.0;0.0;883.06;0.0;;0.0;;1.0;F;;A;0.06;30/360;;;;;;0.0;EUR;0.0;-868400969;0.0;;0;;;0.0;;;;;;Internal;;;;;;;;;;;;BFLEA;N;;;VA;MB;N;;;;2021-01-08;69615.0;a561f98dbxy61f98dba3z;VIN;RSB;NON;a089e55fdxy89e55fd48z;a089e55fdxy89e55fd48z;XY;;0.0;;;489.0;RSB;4.0;a06c53172xy6c53172b6z;;Q3-2020 - Van 5,99 % New;;;N;N;Finance lease;N;;;;;;;;;;2510;30;a53cad8xyfd2z;Elektro;Vito E-Cell KB/E;T0/NCV2/VS20;VS20 Vito EV Tourer;Vito Tourer E-Cell 145W BASE, PRO, SELECT, Mixto Lang;447705;T;2021-01-31;70645.0;S;489.0;500.0;6.0;28204.03;46;46;29019.947246579435;78.9;2027-01-07;72;Other;Active;Vans;Y;500.0;26;70612.22;-883.06;61 - 72;489.0;S;6.0;0.0;F;;;2021-01-08;PF_F;0.17355;29019.94725;Current;0.0552386976110122;0.0566589093515291;-0.0046666645995882;0.3724200488803647;12.00574712643678;N;;0;No-Default;N;0;0;N;N;XYORGF;TM1;RDR;XYORGF;2025-04-30 08:18:19.573592;2025-04-30 08:18:19.573592;BFLEA
