ctt_analysis_entity;ctt_delivering_entity;ctt_funding_entity;ctt_reporting_date;ctt_cms_contract_number;ctt_source_system;ctt_bevis_id;ctt_status;ctt_start_date;ctt_end_date;ctt_contract_currency;ctt_trade_date;ctt_acquisition_date;ctt_nbv_local_cms;ctt_restructuring_flag;ctt_sales_price;ctt_down_payment;ctt_balloon_rv;ctt_additional_financed_amount;ctt_commission;ctt_fee;ctt_idc;ctt_subsidy;ctt_subsidy_percent;ctt_security_deposit;ctt_deposit_rate;ctt_period_in_month;ctt_fix_variable;ctt_variable_type;ctt_payment_mode;ctt_cmsir;ctt_day_conv;ctt_fixing_period;ctt_last_fixing;ctt_next_fixing;ctt_installment;ctt_installment_count;ctt_delinquent_amount;ctt_delinquent_amount_ccy;ctt_delinquent_days_contract;ctt_cal_delinquency_bucket_name;ctt_pd;ctt_lgd;ctt_triggering_event_flag;ctt_continuation_deal;ctt_date_of_last_restructuring;ctt_number_restructurings;ctt_opex;ctt_nib_ratio;ctt_co_r_v_r;ctt_reserves_segment_contract;ctt_economic_capital_ratio;ctt_portfolio_cr;ctt_portfolio_pp;ctt_portfolio;ctt_written_off_flag;ctt_additional_collateral_type;ctt_additional_collateral_amount;ctt_insurance_ancillary;ctt_insurance_gap;ctt_insurance_motor;ctt_insurance_ppi;ctt_insurance_warranty;ctt_tax_rate;ctt_financial_product_group;ctt_rv_guarantee_flag;ctt_product_sap;ctt_abs_code;ctt_asset_type_segment;ctt_brand;ctt_new_used;ctt_units;ctt_model_sap;ctt_additional_asset_information;ctt_asset_model_date;ctt_list_price;ctt_vin;ctt_vin_type;ctt_borrower_type;ctt_borrower_sub_type;ctt_customer_number;ctt_customer_group_number;ctt_borrower_country;ctt_industry_segmentation;ctt_rating;ctt_rating_name;ctt_rating_version;ctt_scoring;ctt_r_model_score_card;ctt_r_model_score_card_version;ctt_dealer;ctt_branch;ctt_campaign;ctt_fda_1;ctt_fda_2;ctt_hostile_termination_flag;ctt_loan_commitment_flag;ctt_ifrs9_classification;ctt_credit_impaired;ctt_loan_limit;ctt_impaired_information;ctt_business_division;ctt_business_line;ctt_rating_scoring_flag;ctt_portfolio_tm1;ctt_icrsa_flag;ctt_delinquency_reason_code;ctt_ifrs9_country_region;ctt_cal_baumuster;ctt_cal_engine_style_text;ctt_cal_product_txt;ctt_cal_class_txt;ctt_cal_typclass_text;ctt_cal_product_comment;ctt_cal_product_bmst;ctt_cal_taxonomy_aligned;ctt_drv_portfolio_type_tm1;ctt_drv_portfolio_type_rdr;ctt_drv_portfolio_name_tm1;ctt_drv_portfolio_name_rdr;ctt_cal_acquisition_period;ctt_cal_max_cashflow_date;ctt_cal_contract_status_name;ctt_cal_financed_amount;ctt_cal_upfront_payments;ctt_cal_curr_rating_scoring_value;ctt_cal_curr_rating_scoring_scaled;ctt_cal_net_pay_out_amount;ctt_cal_interest_type;ctt_cal_contract_trade_date;ctt_cal_curr_rating_scoring_id;ctt_cal_delinquent_amount;ctt_cal_cms_gross_exposure;ctt_cal_contract_age;ctt_cal_vehicle_age;ctt_cal_technical_amortization;ctt_cal_contract_term;ctt_cal_amg_maybach_classification;ctt_cal_luxury_segment;ctt_cal_ifrs9_relevant;ctt_cal_initial_rating_scoring_scaled;ctt_cal_residual_term_in_months;ctt_cal_contract_term_bucket;ctt_cal_initial_rating_scoring_value;ctt_cal_initial_rating_scoring_id;ctt_cal_initial_rating_scoring_class;ctt_cal_contract_last_fixing;ctt_cal_contract_next_fixing;ctt_cal_product_group_alm;ctt_cal_curr_rating_scoring_class;ctt_cal_downpayment_ratio;ctt_cal_gross_exposure;ctt_balance_sheet_entity;ctt_cal_nbv;ctt_cal_effective_payment_frequency;ctt_cal_nominal_deal_irr;ctt_cal_effective_deal_irr;ctt_cal_nominal_upfront_margin;ctt_cal_upfront_margin_sensitivity;ctt_cal_delinquent_days_contract;ctt_cal_delinquent_days;ctt_cal_default_indicator;ctt_cal_date_of_default;ctt_cal_time_since_default;ctt_cal_default_status;ctt_cal_impairment_indicator;ctt_position_id;ctt_cal_product_group_reporting;MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus
XY;50;XY1001;2024-10-31;acbbd763axybbd763aa6z;SYS;708;0;2021-04-12;2027-04-27;EUR;;2021-05-19;18012.79;N;58553.22;16000.0;0.0;0.0;1133.64;0.0;0.0;326.66;;0.0;;1.0;F;;R;2.99;Act/Act;;;;647.14;72.0;0.0;EUR;0.0;Current;0.00115;0.416;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;12;PC;MB;U;1;;;;;a20f5125exy0f5125e94z;VIN;RP;NON;a06a5de1bxy6a5de1b0dz;a06a5de1bxy6a5de1b0dz;XY;;;;;0.0;;;a018b3698xy18b36981az;;;;;N;N;Loan retail;;;;Other;;;;;;;90cde1;xx;xx;xx;xx;xx;xx;xx;TM1;RDR;XYORGF;XYORGF;2021-05-31;2027-04-27;Active;42553.22;-806.98;0.0;;43360.2;F;2021-04-12;X;0.0;18012.79;43;73;72.5;73;Other;;Y;;30;73 - 84;0.0;X;;;;PF_F;;0.27326;18836.1147;XY10;18836.11469726707;11.953041034835143;0.0236319163600412;0.0238890668404129;-0.0062677979551366;0.3347855799576363;0;0;N;;0;No-Default;N;a06a5de1bxy6a5de1b0dz::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a5417f773xy417f773f6z;SYS;708;0;2023-05-24;2027-05-24;EUR;;2023-05-30;39188.81;N;45980.81;0.0;27062.8;0.0;500.0;0.0;0.0;0.0;;0.0;;1.0;F;;R;6.6;30/360;;;;595.0;48.0;0.0;EUR;0.0;Current;0.00253;0.29561;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;;PC;MB;U;1;;;;;a7c15cfeexyc15cfee70z;VIN;RP;NON;ac7a19826xy7a1982638z;ac7a19826xy7a1982638z;XY;;;;;0.0;;;a90029cc6xy0029cc648z;;;;;N;N;Operating lease;;;;Other;;;;;;;01c5fb;Elektro;EQB 350 4M;GLB;X243;EQB 350 4MATIC SUV;243613;T;TM1;RDR;XYORGF;XYORGF;2023-05-31;2027-05-24;Active;45980.81;-500.0;0.0;;45885.81;F;2023-05-24;X;0.0;39188.81;17;47;116.56667;48;Other;Entry Luxury;Y;;31;37 - 48;0.0;X;;;;PF_F;;0.0;39551.90175;XY10;39551.90175351574;12.0;0.0621402446079941;0.0639409654978834;-0.0038319352545344;0.3514652190860424;0;0;N;;0;No-Default;N;ac7a19826xy7a1982638z::SYS_XY1000;OPLEA;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;ade763a32xye763a32d1z;SYS;708;0;2022-05-19;2025-05-19;EUR;;2022-05-23;31557.1;N;46785.0;1666.34;28071.0;300.0;1804.55;795.0;0.0;0.0;;0.0;;1.0;F;;R;6.75;30/360;;;;711.96;36.0;0.0;EUR;0.0;Current;0.0026;0.30308;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;L7F;PC;MB;N;1;;;;46785.0;afd104436xyd1044364fz;VIN;RP;NON;a7e5bbcadxye5bbcadcfz;a7e5bbcadxye5bbcadcfz;XY;;;;;0.0;;;ab0625fcfxy0625fcf79z;;;;;N;N;Operating lease;;;;Other;;;;;;;4a782f;Benzin;C 300;C-Klasse;W206;C 300;206046;F;TM1;RDR;XYORGF;XYORGF;2022-05-31;2025-05-19;Active;45418.66;-1009.55;0.0;;45716.25000000001;F;2022-05-19;X;0.0;31557.1;29;29;89.96666;36;Other;Core Luxury;Y;;7;25 - 36;0.0;X;;;;PF_F;;0.03562;31215.10954;XY10;31215.10954207576;12.0;0.0653643010785467;0.0673585211001944;-0.0100731350410329;0.4527284395894587;0;0;N;;0;No-Default;N;a7e5bbcadxye5bbcadcfz::SYS_XY1000;OPLEA;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a4f147232xyf14723267z;SYS;1042;1;2019-07-26;2023-02-28;EUR;;2019-07-26;0.0;N;14194.09;0.0;1518.12;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;V;1.0;;6.125;30/360;3.0;2023-02-28;;;;373.11;EUR;0.0;181-360 dpd;;;0;;;;;;;;;;;;;;;;;;;;;BFLEA;N;;;VA;MB;N;1;;;2019-07-17;17145.0;a6dd134ecxydd134ec07z;VIN;CD;NON;a6641327exy641327e60z;a893bb416xy93bb4164bz;XY;;3.24;CRC;1.0;322.0;G1AAAT;1.0;acbae61b7xybae61b7f0z;;Händlerfinanzierung;;;N;;Finance lease;;;;;;;;;;;c9a571;Diesel;Citan 109 CDI KA;CITAN;VS10 Citan;Citan 109 CDI BlueEFFICIENCY Kastenwagen Lang;415603;F;TM1;RDR;XYORGF;XYORGF;2019-07-31;2023-04-01;Inactive;14194.09;0.0;3.24;3.24;;V1;2019-07-26;R;373.11;373.11;63;63;48.26666;44;Other;Vans;N;3.24;0;37 - 48;3.24;R;3.0;2023-02-28;2023-02-28;PF_V_RF;3.0;0.0;373.11;XY10;;;;;;;0;225;Y;2024-09-30;31;Default - no hostile termination, no remarketing occurred;Y;a6641327exy641327e60z::SYS_XY1000;BFLEA;2025-05-15 07:27:53.805558;2025-05-15 07:27:53.805558;INVALID
XY;50;XY1001;2024-10-31;a932083a0xy32083a0dcz;SYS;708;0;2023-02-21;2028-09-07;EUR;;2023-03-06;41772.39;N;76223.45;18500.0;0.0;0.0;2778.03;0.0;0.0;0.0;;0.0;;1.0;F;;R;7.99;Act/Act;;;;1087.22;67.0;0.0;EUR;0.0;Current;0.00627;0.39;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;2D;PC;MB;U;1;;;;;af5fe3444xy5fe34440cz;VIN;RP;NON;adb547912xyb54791221z;adb547912xyb54791221z;XY;;;;;1.0;;;ab9d9a118xy9d9a118bcz;;;;;N;N;Loan retail;;;;Other;;;;;;;4d8614;xx;xx;xx;xx;xx;xx;xx;TM1;RDR;XYORGF;XYORGF;2023-03-31;2028-09-07;Active;57723.45;-2778.03;1.0;;60501.48;F;2023-02-21;X;0.0;41772.39;20;50;66.53333;67;Other;;Y;;46;61 - 72;1.0;X;;;;PF_F;;0.24271;45259.04754;XY10;45259.04753954092;11.941514990331877;0.0620901776351916;0.0638840391113973;-0.0178099662924125;0.3780966957380227;0;0;N;;0;No-Default;N;adb547912xyb54791221z::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a902a2a3exy02a2a3e2dz;SYS;708;0;2024-10-18;2028-10-18;EUR;;2024-10-24;59335.9;N;59336.35;7610.5;26355.7;300.0;1240.14;795.0;0.0;3128.92;;0.0;;1.0;F;;R;4.09;30/360;;;;685.96;48.0;0.0;EUR;0.0;Current;0.00305;0.33446;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;;PC;MB;N;1;;;;54995.0;aa206f610xy206f610c2z;VIN;RP;NON;ad73ab745xy73ab74546z;ad73ab745xy73ab74546z;XY;;;;;0.0;;;aae83fd2dxye83fd2dc3z;;;;;N;N;Operating lease;;;;Other;;;;;;;ce796c;Benzin;GLC 300 4M;GLC;X254;GLC 300 4MATIC;254647;F;TM1;RDR;XYORGF;XYORGF;2024-10-31;2028-10-18;Acquisition;52025.85;2683.78;0.0;;48656.11;F;2024-10-18;X;0.0;59335.9;0;0;86.33333;48;Other;Core Luxury;Y;;48;37 - 48;0.0;X;;;;PF_F;;0.12826;48656.11;XY10;48656.11;12.0;0.0655609622941309;0.067567310676101;0.01924731818793;0.3632735578529958;0;0;N;;0;No-Default;N;ad73ab745xy73ab74546z::SYS_XY1000;OPLEA;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a1b656bffxyb656bff3bz;SYS;708;0;2023-09-23;2029-09-23;EUR;;2023-10-03;57347.98;N;64374.33;345.44;0.0;0.0;2000.54;0.0;0.0;0.0;;0.0;;1.0;F;;R;12.59;Act/Act;;;;1271.5;72.0;1398.66;EUR;8.0;Current;0.02355;0.39;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;PC;MB;U;1;;;;;a68e5eaf7xy8e5eaf741z;VIN;RSB;NON;ad1e47c26xy1e47c26eez;ad1e47c26xy1e47c26eez;XY;;;;;3.0;;;a586ae5ffxy86ae5ff77z;;;;;N;N;Loan retail;;;;Other;;;;;;;eafcb2;Benzin;GLC 300;GLC;X253;GLC 300;253983;F;TM1;RDR;XYORGF;XYORGF;2023-10-31;2029-09-23;Active;64028.89;-2000.54;3.0;;66029.43;F;2023-09-23;X;1398.66;58746.64000000001;13;43;72.0;72;Other;Core Luxury;Y;;59;61 - 72;3.0;X;;;;PF_F;;0.00537;58577.11981;XY10;57178.45980929746;12.008591353635529;0.1143268639114183;0.1205117725869298;-0.0115734024702291;0.3763608999228451;0;0;N;;0;No-Default;N;ad1e47c26xy1e47c26eez::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a43743015xy3743015acz;SYS;708;0;2024-04-06;2027-04-21;EUR;;2024-04-22;39379.74;N;45820.01;0.0;0.0;995.0;670.08;0.0;0.0;3060.97;;0.0;;1.0;F;;R;2.99;Act/Act;;;;1362.93;36.0;0.0;EUR;0.0;Current;0.00131;0.39;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;PC;MB;U;1;;;;;aaae9455axyae9455ac2z;VIN;RSB;NON;ae53029aaxy53029aab7z;ae53029aaxy53029aab7z;XY;;;;;0.0;;;a5afa0376xyafa0376c6z;;;;;N;N;Loan retail;;;;Other;;;;;;;00d811;Benzin;GLC 300;GLC;X253;GLC 300;253983;F;TM1;RDR;XYORGF;XYORGF;2024-04-30;2027-04-21;Active;46815.01;2390.89;0.0;;44424.12;F;2024-04-06;X;0.0;39379.74;7;37;36.5;37;Other;Core Luxury;Y;;30;37 - 48;0.0;X;;;;PF_F;;0.0;37695.1223;XY10;37695.12229626333;11.90475813467823;0.0639210610730552;0.0658203455159171;0.0340215369318196;0.659866796484404;0;0;N;;0;No-Default;N;ae53029aaxy53029aab7z::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;aee8ddda4xye8ddda47fz;SYS;709;0;2024-07-31;2029-07-31;EUR;;2024-08-12;55982.08;N;120450.4;60000.0;0.0;0.0;1209.01;0.0;0.0;3234.32;0.0;0.0;0.0;1.0;F;1.0;R;0.05;Act/Act;0.0;2024-07-31;2029-07-31;0.0;0.0;0.0;EUR;0.0;Current;0.01;0.36;0;N;;0.0;;;;;;;;;;;;;;;;;;STFIN;N;3002.0;;VA;MB;N;1;;;;97020.0;a986397d0xy86397d021z;VIN;RSB;NON;a83667dd9xy3667dd9ffz;a83667dd9xy3667dd9ffz;XY;;0.0;;;300.0;ACE;;a6ab73e89xyab73e89baz;910.0;887;;;N;N;Loan retail;N;0.0;;Other;;;;;;;aad053;Diesel;416 KA 4X2 3665;Sprinter/NCV3/VS30;VS30 VAN DUS MB;VS30 RWD - KaWa;907643;F;TM1;RDR;XYORGF;XYORGF;2024-08-31;2029-07-31;Active;60450.4;2025.31;300.0;;58425.09;F;2024-07-31;X;0.0;55982.08;3;3;60.0;60;Other;Vans;Y;;57;49 - 60;300.0;X;;;;PF_F;;0.49813;55962.5042;XY10;55962.50419552706;12.01193724950121;0.0690985341086451;0.0713293388351895;0.0141987018963853;0.4223956972626466;0;0;N;;0;No-Default;N;a83667dd9xy3667dd9ffz::SYS_XY1000;STFIN;2025-04-23 12:59:37.304075;2025-04-23 12:59:37.304075;INVALID
XY;50;XY1001;2024-10-31;adc05dae1xyc05dae1fbz;SYS;708;0;2023-12-14;2029-12-29;EUR;;2023-12-20;58073.63;N;98172.96;20000.0;0.0;0.0;1883.42;0.0;0.0;0.0;;0.0;;1.0;F;;R;8.29;Act/Act;;;;1386.49;72.0;0.0;EUR;0.0;Current;0.00162;0.338;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;PC;MB;N;1;;;;92100.0;a6a128f23xya128f2321z;VIN;RP;NON;afb1e5c22xyb1e5c22c3z;afb1e5c22xyb1e5c22c3z;XY;;;;;0.0;;;a2fab13a2xyfab13a242z;;;;;N;N;Loan retail;;;;Other;;;;;;;b5cb18;Benzin;AMG GLE 53 4M+ Cou;GLE;C167;Mercedes-AMG GLE 53 4MATIC+ Coupé;167361;F;TM1;RDR;XYORGF;XYORGF;2023-12-31;2029-12-29;Active;78172.96;-1883.42;0.0;;80056.38;F;2023-12-14;X;0.0;58073.63;11;11;72.46667;73;AMG;tev & tev +;Y;;62;73 - 84;0.0;X;;;;PF_F;;0.20372;71167.218;XY10;71167.21799537385;11.951869380567707;0.0744836053190781;0.0770742236094132;-0.0084165147299187;0.3543392249536842;0;0;N;;0;No-Default;N;afb1e5c22xyb1e5c22c3z::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
