cfs_analysis_entity;cfs_delivering_entity;cfs_reporting_date;cfs_cms_contract_number;cfs_source_system;cfs_cashflow_type;cfs_payment_date;cfs_cashflow;cfs_drv_alm_flag;cfs_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;a71e6ecfbxy1e6ecfbbez;SYS;Installment;2026-01-16;293.12;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a2aea5e49xyaea5e490dz;SYS;Redemption;2023-07-01;103.19;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;ad1fa6590xy1fa659070z;SYS;Installment;2025-01-29;0.0;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aa9b35983xy9b3598390z;SYS;Installment;2025-03-06;627.81;N;N;2025-04-30 08:18:12.840315;2025-04-30 08:18:12.840315
XY;50;2024-10-31;a91576724xy15767248fz;SYS;Installment;2023-06-05;699.35;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ad4227e9fxy4227e9f51z;SYS;Installment;2027-12-17;1002.54;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a4ed705e0xyed705e05fz;SYS;Installment;2024-03-12;591.85;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ae143e31axy143e31af4z;SYS;Installment;2026-08-14;1355.84;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a5f651096xyf65109692z;SYS;Installment;2025-09-19;753.32;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aa26b03e3xy26b03e396z;SYS;Installment;2027-02-28;877.36;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a2c6ea87exyc6ea87e24z;SYS;Installment;2029-03-08;2612.46;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ad09069afxy09069af17z;SYS;Installment;2025-10-14;545.11;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a5ebbc823xyebbc8230az;SYS;Installment;2024-09-09;473.45;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aeeb5a722xyeb5a722a2z;SYS;Installment;2025-10-01;839.07;N;N;2025-04-30 08:18:12.840315;2025-04-30 08:18:12.840315
XY;50;2024-10-31;a2e79114exye79114e6fz;SYS;Installment;2025-02-08;1625.72;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a2e22e4abxye22e4abdfz;SYS;Installment;2025-01-30;1314.61;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
