wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_rv_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;wos_drv_alm_flag;wos_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;a23e18319xy3e183198dz;SYS;708;;2016-09-28;2016-03-21;2016-03-21;2016-05-12;35039.0;;EUR;35712.34;2016-09-28;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ae08bb6d2xy08bb6d263z;SYS;708;;2016-02-04;2015-08-13;;2015-08-18;22788.0;;EUR;22994.9;2016-02-04;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a3db2c9efxydb2c9ef6fz;SYS;708;;2021-02-14;2020-11-17;;;;;EUR;122.99;2021-02-14;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a230dcca7xy30dcca768z;SYS;708;;2015-01-08;2015-01-06;;2015-01-06;26474.0;;EUR;26474.0;2015-01-06;3254.55;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-09-30;ad7c8e85exy7c8e85e31z;SYS;3250;;2018-08-31;2015-12-31;2017-11-16;2018-07-30;1024553.571429;EARLY_SETTLEMENT;EUR;2469687.77;2018-08-31;3212141.79;;3212141.79;N;N;2025-05-14 12:09:26.976003;2025-05-14 12:09:26.976003
XY;50;2024-10-31;aefb45f75xyfb45f759az;SYS;708;;2021-02-22;2018-02-27;;;;;EUR;;;283.12;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ae28d1a98xy28d1a9840z;SYS;708;;2024-08-14;2024-01-08;;;;;EUR;28681.63;2024-08-14;13890.18;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;aba07c546xya07c54600z;SYS;708;;2023-02-26;2023-01-12;2022-12-14;2023-02-24;55417.0;;EUR;53703.26;2023-02-26;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2025-04-30;af30039a2xy30039a21fz;SYS;2287;;2016-10-05;2015-07-28;2014-10-23;2015-07-28;106818.18;TOTAL;EUR;8160.53;2016-10-05;134254.86;;0.0;N;N;2025-05-15 08:36:24.621918;2025-05-15 08:36:24.621918
XY;50;2024-10-31;abbdb751cxybdb751cb0z;SYS;708;;2020-01-14;2016-03-16;2016-03-16;2016-07-07;25230.8;;EUR;38113.86;2020-01-14;7704.64;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ae3e18ee6xy3e18ee6a2z;SYS;708;;2021-09-28;2021-02-02;;;;;EUR;;;104.43;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;aeb1b8cf2xyb1b8cf291z;SYS;709;0.0;2023-08-21;2023-08-21;;;;;EUR;0.0;;0.06;;0.0;N;N;2025-04-23 13:47:00.001639;2025-04-23 13:47:00.001639
XY;50;2024-10-31;a625dd5efxy25dd5ef82z;SYS;708;;2016-06-08;2016-04-04;;2016-06-08;18865.0;;EUR;19568.82;2016-06-08;-318.82;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a3df60b33xydf60b33afz;SYS;708;;2018-07-24;2017-11-17;;;;;EUR;1852.87;2018-07-24;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;af739d009xy739d00938z;SYS;708;;2016-05-16;2016-03-17;;2016-03-23;30152.0;;EUR;30874.46;2016-05-16;-722.46;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a2f6c6252xyf6c62520dz;SYS;708;;2019-11-20;2019-03-18;;;;;EUR;880.32;2019-11-20;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a29e10bffxy9e10bff59z;SYS;708;;2017-07-10;2011-07-14;2011-04-18;2011-07-14;30818.66;;EUR;31383.92;2017-07-10;28087.1;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;afc18fb41xyc18fb4150z;SYS;708;;2017-07-12;2017-05-15;;;;;EUR;;;0.02;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a1cbee3d9xycbee3d9a9z;SYS;708;;2010-05-03;2010-03-18;;2010-05-03;23765.0;;EUR;23765.0;2010-05-03;739.79;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a66cb85a6xy6cb85a632z;SYS;8204;;2021-08-10;2021-08-10;;2021-02-04;18252.17;;EUR;0.0;;0.0;;0.0;N;N;2025-04-30 08:18:15.017003;2025-04-30 08:18:15.017003
XY;50;2024-10-31;a43914663xy391466328z;SYS;708;;2023-07-23;2023-07-17;;;;;EUR;;;909.9;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a41539e73xy1539e738fz;SYS;708;;2017-05-16;2014-04-01;;2014-07-28;45457.23;;EUR;57162.12;2017-05-16;837.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a8b3b0e29xyb3b0e2944z;SYS;708;;2023-05-30;2023-05-30;;;;;EUR;;;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ad3e784f9xy3e784f90fz;SYS;708;;2016-07-27;2015-03-27;2015-02-26;2015-03-27;31126.8;;EUR;41844.31;2016-07-27;2715.41;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ac1c1e0fdxy1c1e0fd1bz;SYS;708;;2023-09-10;2023-05-10;;;;;EUR;;;632.65;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
