MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus;ctt_abs_code;ctt_acquisition_date;ctt_additional_asset_information;ctt_additional_collateral_amount;ctt_additional_collateral_type;ctt_additional_financed_amount;ctt_analysis_entity;ctt_asset_model_date;ctt_asset_type_segment;ctt_balance_sheet_entity;ctt_balloon_rv;ctt_bevis_id;ctt_borrower_country;ctt_borrower_sub_type;ctt_borrower_type;ctt_branch;ctt_brand;ctt_business_division;ctt_business_line;ctt_campaign;ctt_cms_contract_number;ctt_cmsir;ctt_co_r_v_r;ctt_commission;ctt_continuation_deal;ctt_contract_currency;ctt_credit_impaired;ctt_customer_group_number;ctt_customer_number;ctt_date_of_last_restructuring;ctt_day_conv;ctt_dealer;ctt_delinquency_reason_code;ctt_delinquent_amount;ctt_delinquent_amount_ccy;ctt_delinquent_days_contract;ctt_delivering_entity;ctt_deposit_rate;ctt_down_payment;ctt_drv_portfolio_name_rdr;ctt_drv_portfolio_name_tm1;ctt_drv_portfolio_type_rdr;ctt_drv_portfolio_type_tm1;ctt_economic_capital_ratio;ctt_end_date;ctt_fda_1;ctt_fda_2;ctt_fee;ctt_financial_product_group;ctt_fix_variable;ctt_fixing_period;ctt_funding_entity;ctt_hostile_termination_flag;ctt_icrsa_flag;ctt_idc;ctt_ifrs9_classification;ctt_ifrs9_country_region;ctt_impaired_information;ctt_industry_segmentation;ctt_installment;ctt_installment_count;ctt_insurance_ancillary;ctt_insurance_gap;ctt_insurance_motor;ctt_insurance_ppi;ctt_insurance_warranty;ctt_last_fixing;ctt_lgd;ctt_list_price;ctt_loan_commitment_flag;ctt_loan_limit;ctt_model_sap;ctt_nbv_local_cms;ctt_new_used;ctt_next_fixing;ctt_nib_ratio;ctt_number_restructurings;ctt_opex;ctt_payment_mode;ctt_pd;ctt_period_in_month;ctt_portfolio;ctt_portfolio_cr;ctt_portfolio_pp;ctt_portfolio_tm1;ctt_position_id;ctt_product_sap;ctt_r_model_score_card;ctt_r_model_score_card_version;ctt_rating;ctt_rating_name;ctt_rating_scoring_flag;ctt_rating_version;ctt_reporting_date;ctt_reserves_segment_contract;ctt_restructuring_flag;ctt_rv_guarantee_flag;ctt_sales_price;ctt_scoring;ctt_security_deposit;ctt_source_system;ctt_start_date;ctt_status;ctt_subsidy;ctt_subsidy_percent;ctt_tax_rate;ctt_trade_date;ctt_triggering_event_flag;ctt_units;ctt_variable_type;ctt_vin;ctt_vin_type;ctt_written_off_flag
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;;2023-02-02;;;;7733.98;XY;;PC;XY10;39980.9;708;XY;NON;RSB;;MB;Other;;;ae70bf351xy70bf3512ez;8.68;;1716.59;;EUR;;af6e2cb68xy6e2cb681dz;af6e2cb68xy6e2cb681dz;;30/360;a5fc3aa28xyfc3aa28fbz;;4308.8;EUR;60.0;50;;0.0;XYORGF;XYORGF;RDR;TM1;;2027-01-30;;;795.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;1772.2;48.0;;;;;;;0.33446;86915.0;N;;;74302.86;N;;;;;R;0.03012;1.0;;;;;af6e2cb68xy6e2cb681dz::SYS_XY1000;;;;;;;;2024-10-31;;N;B;91915.0;2.0;0.0;SYS;2023-01-30;0;0.0;;;;0;1;;af146a526xy146a526dez;VIN;
2025-04-23 12:59:37.304075;2025-04-23 12:59:37.304075;INVALID;;2022-06-13;;;;0.0;XY;;VA;XY10;0.0;709;XY;NON;RSB;910.0;MB;Other;;E02;adc720a38xyc720a385fz;0.04;;514.89;N;EUR;N;a6820bbe8xy820bbe8b1z;a6820bbe8xy820bbe8b1z;;Act/Act;a9d0b159bxyd0b159b07z;;0.0;EUR;0.0;50;0.0;35000.0;XYORGF;XYORGF;RDR;TM1;;2027-06-03;;;0.0;STFIN;F;0.0;XY1001;N;;0.0;Loan retail;;;;0.0;0.0;;;;;;2022-06-03;0.37;67905.0;N;0.0;;28702.94;N;2027-06-03;;0.0;;R;0.01;1.0;;;;;a6820bbe8xy820bbe8b1z::SYS_XY1000;3002.0;ACE;;0.0;;;;2024-10-31;;N;N;86489.32;252.0;0.0;SYS;2022-06-03;0;2148.44;0.0;;;0;1;1.0;a568b1be3xy68b1be348z;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;24A;2023-08-15;;;;300.0;XY;;PC;XY10;25895.25;708;XY;NON;RP;;MB;Other;;;af349f535xy349f535bfz;7.5;;300.0;;EUR;;a94b946dfxy4b946df69z;a94b946dfxy4b946df69z;;30/360;aaf0922a3xyf0922a336z;;0.0;EUR;0.0;50;;0.0;XYORGF;XYORGF;RDR;TM1;;2027-11-11;;;795.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;1132.39;51.0;;;;;;;0.33446;55615.0;N;;;55670.31;N;;;;;R;0.01177;1.0;;;;;a94b946dfxy4b946df69z::SYS_XY1000;;;;;;;;2024-10-31;;N;B;67389.64;1.0;0.0;SYS;2023-08-11;0;0.0;;;;0;1;;a6c7fd15cxyc7fd15c7fz;VIN;
2025-05-15 07:35:41.759406;2025-05-15 07:35:41.759406;INVALID;;2024-09-17;;;;6764.9;XY;2023-03-15;PC;XY10;28444.5;2287;XY;NON;RSB;;MB;;;004S0066S0122S0171C0275;a49ee12d9xy9ee12d9edz;6.99;;150.0;;EUR;N;a9be99c6bxybe99c6b72z;a9be99c6bxybe99c6b72z;;30/360;a083d4363xy83d4363eez;;0.0;EUR;0.0;50;;0.0;XYORGF;XYORGF;RDR;TM1;;2029-09-16;;;590.0;BAFIN;F;;XY1001;N;;0.0;Loan retail;;;;;;;;;;;;;103370.0;N;;;94209.5;U;;;0.0;;;;;;;;;a9be99c6bxybe99c6b72z::SYS_XY1000;;PI2013;;6.0;;;;2025-04-30;;N;U;94815.1;630.0;0.0;SYS;2024-09-16;0;0.0;;;;0;1;;a898df03fxy98df03ff9z;VIN;
2025-05-15 07:27:53.805558;2025-05-15 07:27:53.805558;INVALID;;2018-08-29;;;;0.0;XY;2018-08-28;PC;XY10;11850.0;1042;XY;NON;RSB;;MB;;;Finanzierungsaktion KGB 2018 - 12Q22;a7e044c9axye044c9a8cz;7.125;;0.0;;EUR;;acdbf2730xydbf273077z;acdbf2730xydbf273077z;;30/360;acbae61b7xybae61b7f0z;;0.0;EUR;0.0;50;0.0345;15497.5;XYORGF;XYORGF;RDR;TM1;;2027-08-31;;;0.0;BFLEA;V;3.0;XY1001;N;;0.0;Finance lease;;;;;;;;;;;2024-08-31;;66968.31;;;;20437.19;N;2024-11-30;;;;;;1.0;;;;;acdbf2730xydbf273077z::SYS_XY1000;;G1AAAT;1.0;;;;;2024-10-31;;N;N;51658.1;212.0;10331.67;SYS;2018-08-29;0;0.0;;;;0;1;1.0;a869c150axy69c150a95z;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;;2024-07-18;;;;0.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;aa3978c45xy3978c4534z;8.99;;1453.36;;EUR;;a518edf94xy18edf9427z;a518edf94xy18edf9427z;;Act/Act;a5bb12c2fxybb12c2f77z;;0.0;EUR;0.0;50;;13382.0;XYORGF;XYORGF;RDR;TM1;;2027-07-30;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;1359.06;36.0;;;;;;;0.338;49805.0;N;;;8895.22;N;;;;;R;0.00196;1.0;;;;;a518edf94xy18edf9427z::SYS_XY1000;;;;;;;;2024-10-31;;N;N;55988.05;0.0;0.0;SYS;2024-07-17;0;0.0;;;;0;1;;a48ae5765xy8ae57657ez;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;;2022-06-24;;;;1674.72;XY;;PC;XY10;27784.65;708;XY;NON;RP;;MB;Other;;;a6a51da8exya51da8e52z;6.51;;381.15;;EUR;;a6462ef08xy462ef0830z;a6462ef08xy462ef0830z;;30/360;aae1634ddxye1634ddbez;;0.0;EUR;0.0;50;;8515.68;XYORGF;XYORGF;RDR;TM1;;2025-06-22;;;795.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;607.63;36.0;;;;;;;0.30308;47465.0;N;;;32647.42;N;;;;;R;0.03047;1.0;;;;;a6462ef08xy462ef0830z::SYS_XY1000;;;;;;;;2024-10-31;;N;B;48845.0;1.0;0.0;SYS;2022-06-22;0;0.0;;;;0;1;;a49986896xy9986896e2z;VIN;
2025-05-15 07:35:41.759406;2025-05-15 07:35:41.759406;INVALID;SAA241;2022-07-29;;;;9148.0;XY;2021-09-28;PC;XY10;24215.3;2287;XY;NON;RP;;MB;;;003S0115S0122V0001;a538aec6bxy38aec6b45z;8.9;;5052.23;;EUR;N;adbba8d6bxybba8d6bdaz;adbba8d6bxybba8d6bdaz;;30/360;aa706076exy706076ecaz;;0.0;EUR;0.0;50;;1500.0;XYORGF;XYORGF;RDR;TM1;;2027-07-29;;;490.0;OPFIN;F;;XY1001;N;;0.0;Loan retail;;;;;;;;;;;;;78114.0;N;;;61530.1;N;;;0.0;;;;;;;;;adbba8d6bxybba8d6bdaz::SYS_XY1000;;PI2013;;6.0;;;;2025-04-30;;N;B;87381.8;621.0;0.0;SYS;2022-07-29;0;0.0;;;;0;1;;a012beb56xy12beb56b2z;VIN;
2025-05-12 12:35:38.800057;2025-05-12 12:35:38.800057;INVALID;;2018-04-30;;;;0.0;XY;2018-04-23;PC;XY10;3657.99;8205;XY;E;RP;;SM;;;Q1-2018 PL smart;a9f9114efxyf9114effez;0.05;;0.0;;EUR;N;ac7042a80xy7042a80c4z;ac7042a80xy7042a80c4z;;30/360;ab8df304cxy8df304c44z;;-150.0;EUR;354.0;50;;1431.73;XYORGF;XYORGF;RDR;TM1;;2022-09-30;;;0.0;OLOPT;F;;XY1001;N;;50.0;Operating lease;;;;;;;;;;;;;14937.0;N;;;0.0;N;;;0.0;;A;0.0;1.0;;Internal;;;ac7042a80xy7042a80c4z::SYS_XY1000;;RP;2.0;0.0;NDA;;;2024-10-31;;N;B;12289.95;254.0;0.0;SYS;2018-04-23;1;0.0;;;;0;1;;a0d6180baxyd6180ba11z;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;22;2021-06-02;;;;0.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;a0453dadbxy453dadbc6z;3.49;;306.45;;EUR;;a750a64d3xy50a64d3e6z;a750a64d3xy50a64d3e6z;;Act/Act;ae03ef400xy03ef400dcz;;0.0;EUR;0.0;50;;14500.0;XYORGF;XYORGF;RDR;TM1;;2026-06-13;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;274.27;60.0;;;;;;;0.416;;N;;;5331.36;U;;;;;R;0.00115;1.0;;;;;a750a64d3xy50a64d3e6z::SYS_XY1000;;;;;;;;2024-10-31;;N;N;29558.49;0.0;0.0;SYS;2021-05-29;0;0.0;;;;0;1;;a5466a43exy466a43e2dz;VIN;
