MGT_InsertTime;MGT_UpdateTime;ctt_abs_code;ctt_acquisition_date;ctt_additional_asset_information;ctt_additional_collateral_amount;ctt_additional_collateral_type;ctt_additional_financed_amount;ctt_analysis_entity;ctt_asset_model_date;ctt_asset_type_segment;ctt_balance_sheet_entity;ctt_balloon_rv;ctt_bevis_id;ctt_borrower_country;ctt_borrower_sub_type;ctt_borrower_type;ctt_branch;ctt_brand;ctt_business_division;ctt_business_line;ctt_campaign;ctt_cms_contract_number;ctt_cmsir;ctt_co_r_v_r;ctt_commission;ctt_continuation_deal;ctt_contract_currency;ctt_credit_impaired;ctt_customer_group_number;ctt_customer_number;ctt_date_of_last_restructuring;ctt_day_conv;ctt_dealer;ctt_delinquency_reason_code;ctt_delinquent_amount;ctt_delinquent_amount_ccy;ctt_delinquent_days_contract;ctt_delivering_entity;ctt_deposit_rate;ctt_down_payment;ctt_drv_alm_flag;ctt_drv_portfolio_name_rdr;ctt_drv_portfolio_name_tm1;ctt_drv_portfolio_type_rdr;ctt_drv_portfolio_type_tm1;ctt_drv_risk_flag;ctt_economic_capital_ratio;ctt_end_date;ctt_fda_1;ctt_fda_2;ctt_fee;ctt_financial_product_group;ctt_fix_variable;ctt_fixing_period;ctt_funding_entity;ctt_hostile_termination_flag;ctt_icrsa_flag;ctt_idc;ctt_ifrs9_classification;ctt_ifrs9_country_region;ctt_impaired_information;ctt_industry_segmentation;ctt_installment;ctt_installment_count;ctt_insurance_ancillary;ctt_insurance_gap;ctt_insurance_motor;ctt_insurance_ppi;ctt_insurance_warranty;ctt_last_fixing;ctt_lgd;ctt_list_price;ctt_loan_commitment_flag;ctt_loan_limit;ctt_model_sap;ctt_nbv_local_cms;ctt_new_used;ctt_next_fixing;ctt_nib_ratio;ctt_number_restructurings;ctt_opex;ctt_payment_mode;ctt_pd;ctt_period_in_month;ctt_portfolio;ctt_portfolio_cr;ctt_portfolio_pp;ctt_portfolio_tm1;ctt_position_id;ctt_product_sap;ctt_r_model_score_card;ctt_r_model_score_card_version;ctt_rating;ctt_rating_name;ctt_rating_scoring_flag;ctt_rating_version;ctt_reporting_date;ctt_reserves_segment_contract;ctt_restructuring_flag;ctt_rv_guarantee_flag;ctt_sales_price;ctt_scoring;ctt_security_deposit;ctt_source_system;ctt_start_date;ctt_status;ctt_subsidy;ctt_subsidy_percent;ctt_tax_rate;ctt_trade_date;ctt_triggering_event_flag;ctt_units;ctt_variable_type;ctt_vin;ctt_vin_type;ctt_written_off_flag;ifc_id;pgr_id
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;24;2023-01-10;;;;0.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;ad7d3ee94xy7d3ee946fz;6.69;;234.11;;EUR;;a329081fdxy29081fdd8z;a329081fdxy29081fdd8z;;Act/Act;a2e7854c0xye7854c091z;;0.0;EUR;0.0;50;;5000.0;N;XYORGF;XYORGF;RDR;TM1;N;;2028-12-28;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;396.76;72.0;;;;;;;0.414;;N;;;17274.89;U;;;;;R;0.00114;1.0;;;;;1165279757;;;;;;;;2024-10-31;;N;N;28411.5;0.0;0.0;SYS;2022-12-14;0;0.0;;;;0;1.0;;a120b5da6xy20b5da625z;VIN;;28;2511
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2019-01-03;;;;996.75;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;a8e189136xye18913627z;7.99;;3080.49;;EUR;;a1863cad4xy863cad490z;a1863cad4xy863cad490z;2021-01-13;Act/Act;a806e6159xy06e615988z;;1040.86;EUR;19.0;50;;9601.71;N;XYORGF;XYORGF;RDR;TM1;N;;2025-05-12;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;993.52;76.0;;;;;;;0.339;55010.0;N;;;9573.91;N;;;;;R;0.02777;1.0;;;;;2137004045;;;;;;;;2024-10-31;;Y;N;65097.68;2.0;0.0;SYS;2018-12-28;0;2707.77;;;;0;1.0;;a38c9bba9xy8c9bba9e3z;VIN;;28;2511
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2024-10-22;;;;0.0;XY;;PC;XY10;55210.0;708;XY;NON;RP;;MB;Other;;;a8f8bc8f8xyf8bc8f891z;3.04;;400.0;;EUR;;a327fc1f7xy27fc1f7c3z;a327fc1f7xy27fc1f7c3z;;30/360;a6633f21cxy633f21c9az;;0.0;EUR;0.0;50;;13595.13;N;XYORGF;XYORGF;RDR;TM1;N;;2027-10-19;;;0.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;701.43;36.0;;;;;;;0.29561;110420.0;N;;;87803.78;N;;;;;R;0.00305;1.0;;;;;-1642475240;;;;;;;;2024-10-31;;N;B;88170.0;0.0;0.0;SYS;2024-10-19;0;4105.19;;;;0;1.0;;ab24cad63xy24cad634ez;VIN;;31;2508
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;23A;2021-12-07;;;;0.0;XY;;PC;XY10;25918.7;708;XY;NON;RP;;MB;Other;;;aabd6a824xybd6a8240ez;3.45;;300.0;;EUR;;acb209942xyb209942f1z;acb209942xyb209942f1z;;30/360;a2e7854c0xye7854c091z;;0.0;EUR;0.0;50;;12143.63;N;XYORGF;XYORGF;RDR;TM1;N;;2024-12-06;;;0.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;269.64;36.0;;;;;;;0.30072;43930.0;N;;;26529.11;N;;;;;R;0.0026;1.0;;;;;1391631543;;;;;;;;2024-10-31;;N;B;44756.0;0.0;0.0;SYS;2021-12-06;0;0.0;;;;0;1.0;;a44a742a2xy4a742a2ebz;VIN;;31;2508
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;L7F;2022-09-01;;;;0.0;XY;;PC;XY10;34638.7;708;XY;NON;RP;;MB;Other;;;a9c534678xyc5346786dz;5.51;;300.0;;EUR;;a4fe4e02dxyfe4e02dd9z;a4fe4e02dxyfe4e02dd9z;;30/360;a5bb12c2fxybb12c2f77z;;0.0;EUR;0.0;50;;3626.47;N;XYORGF;XYORGF;RDR;TM1;N;;2025-08-30;;;0.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;719.29;36.0;;;;;;;0.30308;;N;;;40796.78;U;;;;;R;0.0026;1.0;;;;;777564482;;;;;;;;2024-10-31;;N;B;56882.0;0.0;0.0;SYS;2022-08-30;0;0.0;;;;0;1.0;;a4f8b701bxyf8b701ba1z;VIN;;31;2508
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2021-07-12;;;;1022.55;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;a5d65340cxyd65340c58z;4.49;;881.33;;EUR;;a97233c76xy7233c76fbz;a97233c76xy7233c76fbz;2024-07-17;Act/Act;a4d173460xyd17346032z;;924.64;EUR;6.0;50;;4973.04;N;XYORGF;XYORGF;RDR;TM1;N;;2027-11-25;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;560.65;76.0;;;;;;;0.416;;N;;;20060.1;U;;;;;R;0.01564;1.0;;;;;197874195;;;;;;;;2024-10-31;;Y;N;39214.95;2.0;0.0;SYS;2021-07-10;0;1401.43;;;;0;1.0;;ac94f8d9dxy94f8d9d76z;VIN;;28;2511
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2024-08-23;;;;0.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;a6d953855xyd95385523z;9.39;;6413.96;;EUR;;a6089ca47xy089ca47e0z;a6089ca47xy089ca47e0z;;Act/Act;a04ba3e17xy4ba3e1714z;;0.0;EUR;0.0;50;;0.0;N;XYORGF;XYORGF;RDR;TM1;N;;2030-08-30;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;1629.64;72.0;;;;;;;0.39;;N;;;87607.0;U;;;;;R;0.00753;1.0;;;;;1705570786;;;;;;;;2024-10-31;;N;N;89118.36;1.0;0.0;SYS;2024-08-16;0;0.0;;;;0;1.0;;a65fcfea3xy5fcfea3d7z;VIN;;28;2511
2025-05-15 09:01:23.338997;2025-05-15 09:01:23.338997;;2024-01-18;;;;0.0;XY;2024-01-17;CV;XY10;1687.25;1042;XY;NON;CF;;OO;;;no campaign;acdef6ce1xydef6ce1fez;6.125;;0.0;;EUR;;aa91058e6xy91058e648z;ac6416777xy6416777daz;;30/360;ab4aa7ed1xy4aa7ed1fcz;;0.0;EUR;0.0;50;0.0;0.0;N;XYORGF;XYORGF;RDR;TM1;N;;2029-01-31;;;0.0;BFLEA;V;3.0;XY1001;N;;0.0;Finance lease;;;;;;;;;;;2024-08-31;;88600.0;;;;76708.41;N;2024-11-30;;;;;;1.0;;;;;-1121236751;;;;4.93;CRC;;1.0;2024-10-31;;N;N;88600.0;;0.0;SYS;2024-01-18;0;0.0;;;;0;1.0;1.0;a9935fab1xy935fab167z;VIN;;30;2510
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;23A;2021-04-20;;;;0.0;XY;;PC;XY10;22513.5;708;XY;NON;RP;;MB;Other;;;abdd78437xydd78437caz;2.34;;400.0;;EUR;;a36f2ff7exy6f2ff7e53z;a36f2ff7exy6f2ff7e53z;;30/360;a6865be88xy865be8857z;;0.0;EUR;0.0;50;;8717.75;N;XYORGF;XYORGF;RDR;TM1;N;;2025-04-16;;;0.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;630.7;48.0;;;;;;;0.34692;48750.0;N;;;26597.4;N;;;;;R;0.0026;1.0;;;;;1900863355;;;;;;;;2024-10-31;;N;B;58154.92;0.0;0.0;SYS;2021-04-16;0;270.53;;;;0;1.0;;a357c10adxy57c10ad8fz;VIN;;31;2508
2025-05-14 12:09:29.195521;2025-05-14 12:09:29.195521;;2023-10-21;;;;0.0;XY;;PC;XY10;0.0;3250;XY;NON;RSB;;MB;Other;RE;14294 ROTF PC Straight Self Subsidised Campaign - 2023;af0ea5451xy0ea5451bbz;0.0;;0.0;;EUR;N;a80c403a9xy0c403a945z;a80c403a9xy0c403a945z;;30/360;af96b7be8xy96b7be8b8z;;0.0;EUR;;50;0.0;1812250.0;N;XYORGF;XYORGF;RDR;TM1;N;;2028-10-18;;;12712.0;STFIN;F;;XY1001;N;;33356.75;Loan retail;;;NDA;;;;;;;;;0.0;4840000.0;N;;;2562808.16;N;;;;;;0.0;;;;;IND-FS;417655194;;PC;1.0;;;;;2024-09-30;;N;N;4840000.0;538.0;0.0;SYS;2023-10-21;0;18644.0;;;;0;1.0;;a562f36a7xy62f36a7d3z;VIN;;28;2049
