wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_rv_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus
XY;50;2024-10-31;afe939803xye9398030ez;SYS;708;903.55;2016-11-29;2016-09-30;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a10e41a70xy0e41a70a3z;SYS;3250;1623956.85;2024-07-30;2024-07-30;2023-10-06;2024-07-30;592994.0;HOSTILE;EUR;0.0;;;;0.0;2025-05-19 13:38:34.126295;2025-05-19 13:38:34.126295;INVALID
XY;50;2024-10-31;a3f7deccexyf7decce4cz;SYS;1042;8070.62;2013-03-18;2013-03-18;2010-04-27;2010-06-01;17100.0;TOTAL;EUR;;;;;0.0;2025-05-15 07:27:58.931103;2025-05-15 07:27:58.931103;INVALID
XY;50;2024-10-31;a386f6824xy86f682421z;SYS;1042;55.72;2020-06-30;2020-03-05;;;;TOTAL;EUR;;;;;0.0;2025-05-15 07:27:58.931103;2025-05-15 07:27:58.931103;INVALID
XY;50;2024-10-31;a2e08d9a4xye08d9a437z;SYS;708;-300.0;2017-09-17;2016-05-03;;;;;EUR;650.0;2017-09-17;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;acda806b6xyda806b6bbz;SYS;708;-4410.07;2009-12-31;2009-12-07;2009-12-07;2009-12-17;101963.88;;EUR;101963.88;2009-12-17;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a124aa2d4xy24aa2d476z;SYS;708;6795.1;2016-11-09;2016-09-22;2016-09-21;2016-11-09;7870.0;;EUR;7870.0;2016-11-09;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;ada783d13xya783d13a6z;SYS;708;4.71;2018-12-04;2018-08-31;;;;;EUR;601.72;2018-11-28;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a9a86375dxya86375d52z;SYS;708;0.0;2019-12-05;2016-09-23;;;;;EUR;2551.43;2019-12-05;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a7bdecc0dxybdecc0d0ez;SYS;708;1132.66;2010-11-01;2010-09-20;;2010-11-01;16913.5;;EUR;16913.5;2010-11-01;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;aeb308389xyb30838936z;SYS;708;8122.99;2013-09-30;2011-12-09;2011-12-09;2012-05-31;19874.5;;EUR;30057.77;2013-09-30;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a2d98a9faxyd98a9faefz;SYS;708;0.0;2020-07-07;2020-05-15;;;;;EUR;2919.43;2020-07-07;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2025-04-30;ac2914a5dxy2914a5d37z;SYS;2287;0.04;2012-11-05;2012-11-05;;;0.0;TOTAL;EUR;0.0;;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
XY;50;2024-10-31;acbff9341xybff9341cdz;SYS;708;71902.99;2016-09-21;2016-06-06;2016-06-03;2016-09-21;52925.0;;EUR;52925.0;2016-09-21;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a4a8748e4xya8748e4bdz;SYS;708;0.0;2021-03-09;2021-02-18;;;;;EUR;458.03;2021-03-09;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
