MGT_InsertTime;MGT_UpdateTime;ctt_abs_code;ctt_acquisition_date;ctt_additional_asset_information;ctt_additional_collateral_amount;ctt_additional_collateral_type;ctt_additional_financed_amount;ctt_analysis_entity;ctt_asset_model_date;ctt_asset_type_segment;ctt_balance_sheet_entity;ctt_balloon_rv;ctt_bevis_id;ctt_borrower_country;ctt_borrower_sub_type;ctt_borrower_type;ctt_branch;ctt_brand;ctt_business_division;ctt_business_line;ctt_campaign;ctt_cms_contract_number;ctt_cmsir;ctt_co_r_v_r;ctt_commission;ctt_continuation_deal;ctt_contract_currency;ctt_credit_impaired;ctt_customer_group_number;ctt_customer_number;ctt_date_of_last_restructuring;ctt_day_conv;ctt_dealer;ctt_delinquency_reason_code;ctt_delinquent_amount;ctt_delinquent_amount_ccy;ctt_delinquent_days_contract;ctt_delivering_entity;ctt_deposit_rate;ctt_down_payment;ctt_drv_alm_flag;ctt_drv_portfolio_name_rdr;ctt_drv_portfolio_name_tm1;ctt_drv_portfolio_type_rdr;ctt_drv_portfolio_type_tm1;ctt_drv_risk_flag;ctt_economic_capital_ratio;ctt_end_date;ctt_fda_1;ctt_fda_2;ctt_fee;ctt_financial_product_group;ctt_fix_variable;ctt_fixing_period;ctt_funding_entity;ctt_hostile_termination_flag;ctt_icrsa_flag;ctt_idc;ctt_ifrs9_classification;ctt_ifrs9_country_region;ctt_impaired_information;ctt_industry_segmentation;ctt_installment;ctt_installment_count;ctt_insurance_ancillary;ctt_insurance_gap;ctt_insurance_motor;ctt_insurance_ppi;ctt_insurance_warranty;ctt_last_fixing;ctt_lgd;ctt_list_price;ctt_loan_commitment_flag;ctt_loan_limit;ctt_model_sap;ctt_nbv_local_cms;ctt_new_used;ctt_next_fixing;ctt_nib_ratio;ctt_number_restructurings;ctt_opex;ctt_payment_mode;ctt_pd;ctt_period_in_month;ctt_portfolio;ctt_portfolio_cr;ctt_portfolio_pp;ctt_portfolio_tm1;ctt_position_id;ctt_product_sap;ctt_r_model_score_card;ctt_r_model_score_card_version;ctt_rating;ctt_rating_name;ctt_rating_scoring_flag;ctt_rating_version;ctt_reporting_date;ctt_reserves_segment_contract;ctt_restructuring_flag;ctt_rv_guarantee_flag;ctt_sales_price;ctt_scoring;ctt_security_deposit;ctt_source_system;ctt_start_date;ctt_status;ctt_subsidy;ctt_subsidy_percent;ctt_tax_rate;ctt_trade_date;ctt_triggering_event_flag;ctt_units;ctt_variable_type;ctt_vin;ctt_vin_type;ctt_written_off_flag;ifc_id;pgr_id
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;12;2020-10-19;;;;0.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;a856885a4xy56885a45fz;1.99;;1052.89;;EUR;;a6fa1717axyfa1717a65z;a6fa1717axyfa1717a65z;;Act/Act;a2dc9ebf1xydc9ebf1cfz;;0.0;EUR;0.0;50;;22392.1;N;XYORGF;XYORGF;RDR;TM1;N;;2026-11-01;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;590.32;72.0;;;;;;;0.34;61095.0;N;;;14466.41;N;;;;;R;0.0019;1.0;;;;;-490865294;;;;;;;;2024-10-31;;N;N;62392.1;0.0;0.0;SYS;2020-10-17;0;1759.58;;;;0;1.0;;a797996cexy97996ce67z;VIN;;28;2511
2025-04-30 08:18:19.573592;2025-04-30 08:18:19.573592;;2023-01-18;;;;0.0;XY;2023-01-17;PC;XY10;0.0;8205;XY;NON;RSB;;MB;;;Q3-2022 September [Select&Drive] 5,99% Nieuw;ab108a43dxy108a43dcfz;0.07;;0.0;;EUR;N;acfa850edxyfa850edb6z;acfa850edxyfa850edb6z;;30/360;af3b8f463xy3b8f46319z;;0.0;EUR;0.0;50;;68526.09;N;XYORGF;XYORGF;RDR;TM1;N;;2027-01-16;;;0.0;FILEA;F;;XY1001;N;;875.0;Finance lease;;;;;;;;;;;;;129910.0;N;;;39310.24;N;;;0.0;;A;0.0;1.0;;Internal;;;14293678;;SME;4.0;0.0;;;;2024-10-31;;N;N;138526.09;653.0;0.0;SYS;2023-01-17;0;0.0;;;;0;;;a6bb69d9exybb69d9e8bz;VIN;;30;2509
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2024-06-10;;;;0.0;XY;;PC;XY10;47959.5;708;XY;NON;RP;;MB;Other;;;a117660c4xy17660c4eez;3.61;;1257.87;;EUR;;a12afdc9cxy2afdc9c49z;a12afdc9cxy2afdc9c49z;;30/360;a5afa0376xyafa0376c6z;;0.0;EUR;0.0;50;;6220.87;N;XYORGF;XYORGF;RDR;TM1;N;;2027-06-09;;;0.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;474.44;36.0;;;;;;;0.29561;;N;;;63168.68;U;;;;;R;0.00305;1.0;;;;;1953755011;;;;;;;;2024-10-31;;N;B;65471.12;0.0;0.0;SYS;2024-06-09;0;5177.36;;;;0;1.0;;a33a24832xy3a2483296z;VIN;;31;2508
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;L7F;2024-03-25;;;;0.0;XY;;PC;XY10;22292.6;708;XY;NON;RP;;MB;Other;;;afde39ff3xyde39ff331z;5.15;;400.0;;EUR;;a8cb382b2xycb382b245z;a8cb382b2xycb382b245z;;30/360;acda0ecb9xyda0ecb9e0z;;0.0;EUR;0.0;50;;42.71;N;XYORGF;XYORGF;RDR;TM1;N;;2028-03-23;;;0.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;799.61;48.0;;;;;;;0.33446;48675.0;N;;;48313.56;N;;;;;R;0.01413;1.0;;;;;686808077;;;;;;;;2024-10-31;;N;B;52955.59;1.0;0.0;SYS;2024-03-23;0;2130.95;;;;0;1.0;;a2bf99e2exybf99e2efdz;VIN;;31;2508
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2024-08-16;;;;300.0;XY;;PC;XY10;47526.0;708;XY;NON;RP;;MB;Other;;;aefd82318xyfd8231882z;5.92;;164.21;;EUR;;a9c0e95b1xyc0e95b1f9z;a9c0e95b1xyc0e95b1f9z;;30/360;afe97df80xye97df80f8z;;0.0;EUR;0.0;50;;9429.32;N;XYORGF;XYORGF;RDR;TM1;N;;2026-08-15;;;795.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;511.29;24.0;;;;;;;0.29561;79210.0;N;;;60893.54;N;;;;;R;0.00305;1.0;;;;;-1951564642;;;;;;;;2024-10-31;;N;B;62171.08;0.0;0.0;SYS;2024-08-15;0;92.53;;;;0;1.0;;a04a3d3c3xy4a3d3c3a0z;VIN;;31;2508
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;12;2021-01-19;;;;895.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;ab371bec4xy371bec4cez;3.99;;1174.31;;EUR;;a181cba81xy81cba81f1z;a181cba81xy81cba81f1z;;Act/Act;a2e7854c0xye7854c091z;;0.0;EUR;0.0;50;;10000.0;N;XYORGF;XYORGF;RDR;TM1;N;;2027-01-27;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;680.53;72.0;;;;;;;0.416;;N;;;17517.45;U;;;;;R;0.00658;1.0;;;;;1321505369;;;;;;;;2024-10-31;;N;N;52543.33;1.0;0.0;SYS;2021-01-13;0;886.73;;;;0;1.0;;ab27c594axy27c594a1cz;VIN;;28;2511
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2020-06-19;;;;4807.79;XY;;VA;XY10;0.0;708;XY;NON;RSB;;MB;Other;;;a30a969a8xy0a969a827z;0.0;;300.0;;EUR;;a8927e50dxy927e50db1z;ae306f319xy306f319c5z;;Act/Act;a99613bc3xy9613bc3e2z;;0.0;EUR;0.0;50;;3500.0;N;XYORGF;XYORGF;RDR;TM1;N;;2025-08-14;;;0.0;STFIN;F;;XY1001;N;;90.0;Loan retail;;;;710.88;62.0;;;;;;;0.315;41345.01;N;;;7108.8;N;;;;;R;0.0175;1.0;;;;;99985636;;;;;;;;2024-10-31;;N;N;41345.01;;0.0;SYS;2020-06-16;0;5437.47;;;;0;1.0;;af88dcdc0xy88dcdc06az;VIN;;28;2511
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2024-08-15;;;;300.0;XY;;PC;XY10;45293.5;708;XY;NON;RP;;MB;Other;;;a1382cc0fxy382cc0f53z;5.09;;1295.67;;EUR;;a2e410722xye41072221z;a2e410722xye41072221z;;30/360;a84ce3cfaxy4ce3cfaafz;;0.0;EUR;0.0;50;;7500.0;N;XYORGF;XYORGF;RDR;TM1;N;;2027-08-14;;;795.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;792.58;36.0;;;;;;;0.29561;;N;;;70209.19;U;;;;;R;0.03616;1.0;;;;;1118133145;;;;;;;;2024-10-31;;N;B;71821.95;2.0;0.0;SYS;2024-08-14;0;5328.83;;;;0;1.0;;a805b1ae2xy05b1ae2a9z;VIN;;31;2508
2025-04-23 13:46:56.996937;2025-04-23 13:46:56.996937;;2024-03-07;;;;0.0;XY;;PC;XY10;31927.1;709;XY;NON;RP;910.0;MB;Other;;E51;a4830a5aexy830a5ae15z;0.06;;676.06;N;EUR;N;a7d90d7d5xyd90d7d539z;a7d90d7d5xyd90d7d539z;;30/360;ac84d2f7dxy84d2f7de9z;;0.0;EUR;0.0;50;0.0;8118.64;N;XYORGF;XYORGF;RDR;TM1;N;;2028-02-28;;;0.0;OPLEA;F;0.0;XY1001;N;;0.0;Operating lease;;;;0.0;0.0;;;;;;2024-02-28;0.21;67930.0;N;0.0;;67705.42;N;2028-02-28;;0.0;;A;0.00368;1.0;;;;;-1427582517;3105.0;ACE;;0.0;;;;2024-10-31;;N;B;75724.76;306.0;0.0;SYS;2024-02-28;0;1432.2;0.0;;;0;1.0;1.0;a8c760c6bxyc760c6b58z;VIN;;31;2508
2025-04-24 17:16:33.029457;2025-04-24 17:16:33.029457;;2024-02-09;;;;0.0;XY;;PC;XY10;0.0;708;XY;NON;RSB;;MB;Other;;;a72838d1bxy2838d1bd8z;7.99;;2692.28;;EUR;;aaeaded3cxyeaded3ce9z;aaeaded3cxyeaded3ce9z;;Act/Act;adbe7190fxybe7190f8cz;;0.0;EUR;0.0;50;;12213.92;N;XYORGF;XYORGF;RDR;TM1;N;;2030-02-14;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;1498.79;72.0;;;;;;;0.338;;N;;;78174.57;U;;;;;R;0.00196;1.0;;;;;2039121532;;;;;;;;2024-10-31;;N;N;97436.73;0.0;0.0;SYS;2024-01-30;0;0.0;;;;0;1.0;;a955f4b4dxy55f4b4d9cz;VIN;;28;2511
