MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus;ctt_abs_code;ctt_acquisition_date;ctt_additional_asset_information;ctt_additional_collateral_amount;ctt_additional_collateral_type;ctt_additional_financed_amount;ctt_analysis_entity;ctt_asset_model_date;ctt_asset_type_segment;ctt_balance_sheet_entity;ctt_balloon_rv;ctt_bevis_id;ctt_borrower_country;ctt_borrower_sub_type;ctt_borrower_type;ctt_branch;ctt_brand;ctt_business_division;ctt_business_line;ctt_campaign;ctt_cms_contract_number;ctt_cmsir;ctt_co_r_v_r;ctt_commission;ctt_continuation_deal;ctt_contract_currency;ctt_credit_impaired;ctt_customer_group_number;ctt_customer_number;ctt_date_of_last_restructuring;ctt_day_conv;ctt_dealer;ctt_delinquency_reason_code;ctt_delinquent_amount;ctt_delinquent_amount_ccy;ctt_delinquent_days_contract;ctt_delivering_entity;ctt_deposit_rate;ctt_down_payment;ctt_drv_portfolio_name_rdr;ctt_drv_portfolio_name_tm1;ctt_drv_portfolio_type_rdr;ctt_drv_portfolio_type_tm1;ctt_economic_capital_ratio;ctt_end_date;ctt_fda_1;ctt_fda_2;ctt_fee;ctt_financial_product_group;ctt_fix_variable;ctt_fixing_period;ctt_funding_entity;ctt_hostile_termination_flag;ctt_icrsa_flag;ctt_idc;ctt_ifrs9_classification;ctt_ifrs9_country_region;ctt_impaired_information;ctt_industry_segmentation;ctt_installment;ctt_installment_count;ctt_insurance_ancillary;ctt_insurance_gap;ctt_insurance_motor;ctt_insurance_ppi;ctt_insurance_warranty;ctt_last_fixing;ctt_lgd;ctt_list_price;ctt_loan_commitment_flag;ctt_loan_limit;ctt_model_sap;ctt_nbv_local_cms;ctt_new_used;ctt_next_fixing;ctt_nib_ratio;ctt_number_restructurings;ctt_opex;ctt_payment_mode;ctt_pd;ctt_period_in_month;ctt_portfolio;ctt_portfolio_cr;ctt_portfolio_pp;ctt_portfolio_tm1;ctt_position_id;ctt_product_sap;ctt_r_model_score_card;ctt_r_model_score_card_version;ctt_rating;ctt_rating_name;ctt_rating_scoring_flag;ctt_rating_version;ctt_reporting_date;ctt_reserves_segment_contract;ctt_restructuring_flag;ctt_rv_guarantee_flag;ctt_sales_price;ctt_scoring;ctt_security_deposit;ctt_source_system;ctt_start_date;ctt_status;ctt_subsidy;ctt_subsidy_percent;ctt_tax_rate;ctt_trade_date;ctt_triggering_event_flag;ctt_units;ctt_variable_type;ctt_vin;ctt_vin_type;ctt_written_off_flag
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;;2023-08-28;;;;0.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;ab538d4fcxy538d4fc9dz;7.99;;795.38;;EUR;;af8ff88d7xy8ff88d7c8z;af8ff88d7xy8ff88d7c8z;;Act/Act;a8be77863xybe77863d7z;;0.0;EUR;0.0;50;;10000.0;XYORGF;XYORGF;RDR;TM1;;2029-08-24;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;399.11;72.0;;;;;;;0.39;;N;;;19184.87;U;;;;;R;0.00108;1.0;;;;;af8ff88d7xy8ff88d7c8z::SYS_XY1000;;;;;;;;2024-10-31;;N;N;32769.79;0.0;0.0;SYS;2023-08-24;0;0.0;;;;0;1;;ae47a3addxy47a3addd5z;VIN;
2025-04-23 12:59:37.304075;2025-04-23 12:59:37.304075;INVALID;;2024-07-31;;;;0.0;XY;;VA;XY10;31431.66;709;XY;NON;RSB;910.0;MB;Other;;880;adcee8b14xycee8b1403z;0.03;;1580.52;N;EUR;N;ad9bd5ee3xy9bd5ee34dz;ad9bd5ee3xy9bd5ee34dz;;30/360;abc830411xyc8304113dz;;0.0;EUR;0.0;50;0.0;10000.0;XYORGF;XYORGF;RDR;TM1;;2029-07-29;;;0.0;FILEA;F;0.0;XY1001;N;;0.0;Finance lease;;;;0.0;0.0;;;;;;2024-07-29;0.21;80594.0;N;0.0;;69519.13;N;2029-07-29;;0.0;;A;0.01;1.0;;;;;ad9bd5ee3xy9bd5ee34dz::SYS_XY1000;3105.0;ACE;;0.0;;;;2024-10-31;;N;U;89026.21;225.0;0.0;SYS;2024-07-29;0;8418.04;0.0;;;0;1;1.0;a89a67ce2xy9a67ce292z;VIN;
2025-05-15 07:27:53.805558;2025-05-15 07:27:53.805558;INVALID;;2024-09-02;;;;0.0;XY;2024-08-30;PC;XY10;23939.78;1042;XY;NON;RSB;;MB;;;EQ Offensive gewerblich Q1 2024;af84b1493xy84b1493e2z;3.6651;;0.0;;EUR;;a6abceff2xyabceff2a7z;a6abceff2xyabceff2a7z;;30/360;a420314f1xy20314f1cez;;0.0;EUR;0.0;50;0.0;12500.0;XYORGF;XYORGF;RDR;TM1;;2028-08-31;;;0.0;OPLEA;F;;XY1001;N;;0.0;Manufacturing lease;;;;;;;;;;;;;56196.67;;;;45367.56;N;;;;;;;1.0;;;;;a6abceff2xyabceff2a7z::SYS_XY1000;;RSB;1.0;;;;;2024-10-31;;N;B;48838.67;873.0;0.0;SYS;2024-09-01;0;3000.0;;;;0;1;;a60ed1b87xy0ed1b8703z;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;23A;2022-11-02;;;;0.0;XY;;PC;XY10;20192.0;708;XY;NON;RP;;MB;Other;;;ac6657399xy6657399aaz;6.59;;300.0;;EUR;;a2c48f6c7xyc48f6c726z;a2c48f6c7xyc48f6c726z;2024-08-20;30/360;aecc58ae9xycc58ae96bz;;59.06;EUR;30.0;50;;462.75;XYORGF;XYORGF;RDR;TM1;;2027-10-23;;;0.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;622.11;60.0;;;;;;;0.34893;48960.0;N;;;36075.0;N;;;;;R;0.01177;1.0;;;;;a2c48f6c7xyc48f6c726z::SYS_XY1000;;;;;;;;2024-10-31;;Y;B;46804.15;1.0;0.0;SYS;2022-10-23;0;0.0;;;;0;1;;a62fac653xy2fac653dcz;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;23;2022-10-12;;;;0.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;a0476f933xy476f933c7z;6.94;;1137.95;;EUR;;ae9fbb5b6xy9fbb5b654z;ae9fbb5b6xy9fbb5b654z;;Act/Act;af0d48489xy0d48489f9z;;0.0;EUR;0.0;50;;20000.0;XYORGF;XYORGF;RDR;TM1;;2027-09-30;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;536.25;60.0;;;;;;;0.414;;N;;;16951.29;U;;;;;R;0.00114;1.0;;;;;ae9fbb5b6xy9fbb5b654z::SYS_XY1000;;;;;;;;2024-10-31;;N;N;47120.34;0.0;0.0;SYS;2022-09-30;0;0.0;;;;0;1;;a18262963xy8262963b3z;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;;2022-08-04;;;;9560.0;XY;;PC;XY10;0.0;708;XY;NON;RP;;MB;Other;;;a5c792e1dxyc792e1db3z;12.99;;873.82;;EUR;;a8d4c2d2exyd4c2d2e72z;a8d4c2d2exyd4c2d2e72z;;Act/Act;a3702c5e9xy702c5e9c9z;;0.0;EUR;0.0;50;;20000.0;XYORGF;XYORGF;RDR;TM1;;2028-08-12;;;0.0;STFIN;F;;XY1001;N;;0.0;Loan retail;;;;1359.5;72.0;;;;;;;0.345;59855.0;N;;;49352.53;N;;;;;R;0.02544;1.0;;;;;a8d4c2d2exyd4c2d2e72z::SYS_XY1000;;;;;;;;2024-10-31;;N;N;77822.55;5.0;0.0;SYS;2022-07-28;0;0.0;;;;0;1;;a687b87c9xy87b87c912z;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;;2022-04-07;;;;300.0;XY;;PC;XY10;50326.15;708;XY;NON;RSB;;MB;Other;;;a0c658a80xyc658a8074z;7.17;;4755.4;;EUR;;a29fa55adxy9fa55ad7bz;a29fa55adxy9fa55ad7bz;;30/360;aa426bbb1xy426bbb150z;;0.0;EUR;0.0;50;;166.39;XYORGF;XYORGF;RDR;TM1;;2026-04-04;;;795.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;1838.38;48.0;;;;;;;0.34893;92705.0;N;;;73068.05;N;;;;;R;0.01177;1.0;;;;;a29fa55adxy9fa55ad7bz::SYS_XY1000;;;;;;;;2024-10-31;;N;B;113863.2;1.0;0.0;SYS;2022-04-04;0;0.0;;;;0;1;;abbf9f2daxybf9f2da5ez;VIN;
2025-05-15 07:35:41.759406;2025-05-15 07:35:41.759406;INVALID;;2024-08-26;;;;1184.4;XY;2024-06-01;PC;XY10;16000.0;2287;XY;NON;CF;;OO;;;5;a25f7eba3xy5f7eba326z;6.4;;0.0;;EUR;N;aa02fff7bxy02fff7bb8z;a7c0296baxyc0296bab3z;;30/360;a028dea43xy28dea4379z;;0.0;EUR;0.0;50;;0.0;XYORGF;XYORGF;RDR;TM1;;2026-08-16;;;0.0;FILEA;F;;XY1001;N;;0.0;Finance lease;;;;;;;;;;;;;26733.8;N;;;22805.7;N;;;0.0;;;;;;;;;a7c0296baxyc0296bab3z::SYS_XY1000;;;;2.64;;;;2025-04-30;;N;U;25549.4;;0.0;SYS;2024-08-16;0;0.0;;;;0;1;;a054e8861xy54e8861b9z;VIN;
2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID;;2024-04-25;;;;0.0;XY;;PC;XY10;33199.95;708;XY;NON;RP;;MB;Other;;;a95f0c7eexy5f0c7ee9fz;2.41;;400.0;;EUR;;aaa8eb5c6xya8eb5c6f7z;aaa8eb5c6xya8eb5c6f7z;;30/360;a5fd32d24xyfd32d242az;;0.0;EUR;0.0;50;;7162.51;XYORGF;XYORGF;RDR;TM1;;2027-04-24;;;0.0;OPLEA;F;;XY1001;N;;0.0;Operating lease;;;;429.65;36.0;;;;;;;0.29561;;N;;;49559.5;U;;;;;R;0.00305;1.0;;;;;aaa8eb5c6xya8eb5c6f7z::SYS_XY1000;;;;;;;;2024-10-31;;N;B;52985.28;0.0;0.0;SYS;2024-04-24;0;3820.96;;;;0;1;;a7bad6092xybad60925ez;VIN;
2025-04-23 12:59:37.304075;2025-04-23 12:59:37.304075;INVALID;;2020-04-28;;;;0.0;XY;;VA;XY10;0.0;709;XY;NON;RSB;910.0;MB;Other;;884;ae027677bxy027677b78z;0.02;;0.0;N;EUR;N;a9cfb02a1xycfb02a1b7z;a9cfb02a1xycfb02a1b7z;;Act/Act;a8a3f4d69xya3f4d69daz;;0.0;EUR;0.0;50;0.0;0.0;XYORGF;XYORGF;RDR;TM1;;2025-04-27;;;0.0;STFIN;F;0.0;XY1001;N;;0.0;Loan retail;;;;0.0;0.0;;;;;;2020-04-27;0.38;37500.0;N;0.0;;4234.13;N;2025-04-27;;0.0;;R;0.01;1.0;;;;;a9cfb02a1xycfb02a1b7z::SYS_XY1000;3002.0;ACE;;0.0;;;;2024-10-31;;N;N;39850.31;225.0;0.0;SYS;2020-04-27;0;2135.42;0.0;;;0;1;1.0;ac4dc816bxy4dc816b9bz;VIN;
